SAMID volume fix
SAM94 104380 1
SAM147 32750 1
SAM126 79108 1
SAM6 1231021 1
SAM217 -95402 1
SAM230 -169069 1
SAM235 -109014 1
SAM191 -51409 1
SAM15 790414 1
SAM14 726923 1
SAM260 -247244 1
SAM115 110210 1
SAM132 66955 1
SAM212 -132090 1
SAM163 -9800.28 1
SAM55 390949 1
SAM144 11006 1
SAM59 357280 1
SAM188 -41184 1
SAM76 244874 1
SAM215 -140000 1
SAM103 132264 1
SAM34 561124 1
SAM58 357979 1
SAM204 -109152 1
SAM179 -1349.3 1
SAM64 269741 1
SAM131 66155 1
SAM261 -252284 1
SAM116 109895 1
SAM300 -319911 1
SAM114 112460 1
SAM101 185357 1
SAM354 -459881 1
SAM200 -111785 1
SAM30 613719 1
SAM272 -225687 1
SAM281 -288803 1
SAM11 951962 1
SAM178 -25524 1
SAM344 -333232 1
SAM289 -237597 1
SAM320 -354348 1
SAM151 42032 1
SAM51 392036 1
SAM143 31725 1
SAM226 -180197 1
SAM100 153855 1
SAM127 22387 1
SAM124 47168 1
SAM312 -329126 1
SAM207 -114295 1
SAM279 -297899 1
SAM293 -299975 1
SAM32 454262 1
SAM111 93672 1
SAM306 -201525 1
SAM190 -45265 1
SAM168 10321 1
SAM42 501782 1
SAM305 -324478 1
SAM310 -334962 1
SAM324 -372994 1
SAM273 -274112 1
SAM245 -209094 1
SAM149 66098 1
SAM177 -64023 1
SAM166 -10998 1
SAM180 -28636 1
SAM74 211734 1
SAM186 -34862 1
SAM241 -210064 1
SAM41 518250 1
SAM54 404274 1
SAM46 409795 1
SAM66 272994 1
SAM137 57193 1
SAM87 157741 1
SAM277 -230502 1
SAM298 -309230 1
SAM313 -339050 1
SAM314 -339237 1
SAM82 215833 1
