SAMID surface_area fix
SAM380 -10444 1
SAM339 -10105 1
SAM356 -13095 1
SAM7 30216 1
SAM10 23696 1
SAM19 19607 1
SAM150 986.77 1
SAM321 -9806.5 1
SAM267 -7704.65 1
SAM171 1824.69 1
SAM348 -12579 1
SAM287 -7918.6 1
SAM375 -13095 1
SAM352 -13094 1
SAM362 -11189 1
SAM284 -8338.81 1
SAM231 -3715.63 1
SAM328 -10059 1
SAM246 -5319.93 1
SAM223 -4394.51 1
SAM182 -531.86 1
SAM311 -9205.37 1
SAM39 10576 1
SAM1 38835 1
SAM209 -2412.82 1
SAM252 -5459.1 1
SAM16 24716 1
SAM297 -9246.49 1
SAM262 -5508.05 1
SAM146 1061.83 1
SAM47 12439 1
SAM94 2574.09 1
SAM147 1152.07 1
SAM126 3408.12 1
SAM6 27026 1
SAM217 -2044.9 1
SAM230 -4258.14 1
SAM235 -2777.28 1
SAM191 853.82 1
SAM15 19747 1
SAM14 18946 1
SAM260 -6951.99 1
SAM115 5053.52 1
SAM132 2219.51 1
SAM212 -1674.55 1
SAM163 477.84 1
SAM55 11490 1
SAM144 -53.2542 1
SAM59 10432 1
SAM188 -200.15 1
SAM76 6810.89 1
SAM215 -3883.96 1
SAM103 4277.36 1
SAM34 15595 1
SAM58 9733.53 1
SAM204 -3346.86 1
SAM179 54.7961 1
SAM64 7595.21 1
SAM131 2359.49 1
SAM261 -6612.39 1
SAM116 6381.44 1
SAM300 -7569.66 1
SAM114 4341.53 1
SAM101 6369.77 1
SAM354 -13514 1
SAM200 -3253.76 1
SAM30 16848 1
SAM272 -6464.58 1
SAM281 -7778.65 1
SAM11 23811 1
SAM178 -638.33 1
SAM344 -9122.31 1
SAM289 -6488.08 1
SAM320 -10079 1
SAM151 1809.61 1
SAM51 11209 1
SAM143 1657.93 1
SAM226 -4850.35 1
SAM100 4204.3 1
SAM127 1293.22 1
SAM124 1071.88 1
SAM312 -8706.33 1
SAM207 -3185.46 1
SAM279 -7483.09 1
SAM293 -8331.66 1
SAM32 11995 1
SAM111 3335.96 1
SAM306 -2460.56 1
SAM190 -1452.51 1
SAM168 599.46 1
SAM42 12973 1
SAM305 -8277.63 1
SAM310 -9437.62 1
SAM324 -10938 1
SAM273 -6925.78 1
SAM245 -5472.31 1
SAM149 1890.07 1
SAM177 -1323.22 1
SAM166 9.5499 1
SAM180 -1040.17 1
SAM74 5072.88 1
SAM186 707.98 1
SAM241 -4787.67 1
SAM41 13361 1
SAM54 11430 1
SAM46 9751.72 1
SAM66 5307.09 1
SAM137 2038.1 1
SAM87 4155.15 1
SAM277 -5778.64 1
SAM298 -8414.05 1
SAM313 -9050.63 1
SAM314 -9598.43 1
SAM82 6421.69 1
