SAMID Dim1 fix
SAM20 0.725 1
SAM36 0.9025 1
SAM22 0.795 1
SAM31 0.73 1
SAM23 1.0025 1
SAM184 1.0575 1
SAM33 0.756666667 1
SAM70 0.86 1
SAM332 1.0225 1
SAM331 0.9175 1
SAM141 0.846666667 1
SAM206 0.975 1
SAM140 0.845 1
SAM169 0.9475 1
SAM83 0.99 1
SAM183 0.835 1
SAM175 0.9175 1
SAM154 0.9 1
SAM110 1.07 1
SAM72 1.015 1
SAM159 0.77 1
SAM309 1.1475 1
SAM225 0.8875 1
SAM93 1.0125 1
SAM290 0.786666667 1
SAM121 0.8825 1
SAM307 1.175 1
SAM9 1.045 1
SAM286 0.9725 1
SAM112 1.07 1
SAM192 0.735 1
SAM259 0.875 1
SAM336 0.96 1
SAM291 0.8475 1
SAM318 0.82 1
SAM90 0.95 1
SAM236 0.7675 1
SAM52 1.0525 1
SAM29 1.015 1
SAM327 1.0775 1
SAM77 1.1375 1
SAM138 0.773333333 1
SAM333 1.235 1
SAM299 1.005 1
SAM379 1.28 1
SAM134 1.1725 1
SAM24 0.9675 1
SAM357 1.0075 1
SAM38 1.3425 1
SAM92 1.21 1
SAM113 1.1225 1
SAM269 1.0175 1
SAM80 0.9225 1
SAM381 1.1025 1
SAM373 1.0375 1
SAM370 1.085 1
SAM43 1.103714286 1
SAM26 0.96 1
SAM142 0.9275 1
SAM244 1.075 1
SAM283 1.225 1
SAM364 0.955 1
SAM326 1.0925 1
SAM255 1 1
SAM330 0.69 1
SAM187 0.895 1
SAM202 0.8925 1
SAM288 1 1
SAM49 0.76 1
SAM164 0.7975 1
SAM233 1.055 1
SAM263 0.82 1
SAM57 1.1825 1
SAM104 1.0575 1
SAM211 1.0175 1
SAM221 1.02 1
SAM337 1.215 1
SAM205 0.89 1
SAM240 0.9825 1
SAM99 1.055 1
SAM155 0.976666667 1
SAM145 0.753333333 1
SAM220 0.7625 1
SAM167 0.795 1
SAM40 0.85 1
SAM213 1.1275 1
SAM243 1.015 1
SAM254 0.8275 1
SAM176 1.283333333 1
SAM158 1.176666667 1
SAM369 1.0575 1
SAM185 1.34 1
SAM193 1.375 1
SAM71 1.045 1
SAM315 0.815 1
SAM292 1.1975 1
SAM359 1.116666667 1
SAM229 1.19 1
SAM338 1.24 1
SAM27 1.0225 1
SAM120 1.155 1
SAM316 1.215 1
SAM325 1.195 1
SAM133 1.24 1
SAM368 1.11 1
SAM342 1.066666667 1
SAM275 1.13 1
SAM148 1.295 1
SAM377 1.065 1
SAM61 0.94 1
SAM81 1.0075 1
SAM295 1.0725 1
SAM270 0.92 1
SAM203 0.8525 1
SAM222 1.44 1
SAM340 1.0125 1
SAM294 1.306666667 1
SAM91 1.1975 1
SAM376 1.2325 1
SAM346 1.225 1
SAM345 1.1175 1
SAM119 1.105 1
SAM378 0.9675 1
SAM98 1.1275 1
SAM56 0.6975 1
SAM28 0.825 1
SAM135 0.76 1
SAM2 0.825 1
SAM238 1.046666667 1
SAM63 0.835 1
SAM48 1.01 1
SAM4 0.9225 1
SAM69 1.1075 1
SAM317 1.3575 1
SAM347 1.0525 1
SAM319 0.9125 1
SAM265 1.0375 1
SAM25 1.0325 1
SAM334 1.1025 1
SAM139 0.845 1
SAM45 0.61 1
SAM62 1.2125 1
SAM157 1.1825 1
SAM3 0.995 1
SAM117 1.0625 1
SAM271 1.22 1
SAM5 0.5625 1
SAM86 0.96 1
SAM198 0.845 1
SAM251 0.84 1
SAM156 0.7925 1
SAM108 0.88 1
SAM349 0.893333333 1
SAM122 1.065 1
SAM266 1.08 1
SAM218 0.915 1
SAM85 0.9275 1
SAM248 0.98 1
SAM21 0.875 1
SAM278 1.095 1
SAM199 0.98 1
SAM96 0.7175 1
SAM367 1.0625 1
SAM194 0.9075 1
SAM161 1.02 1
SAM173 0.98 1
SAM216 1.0675 1
SAM257 0.7675 1
SAM89 0.78 1
SAM160 0.88 1
SAM50 1.1375 1
SAM264 0.965 1
SAM285 0.885 1
SAM343 0.9025 1
SAM60 0.775 1
SAM301 0.8 1
SAM8 0.89 1
SAM242 0.9925 1
SAM355 1.0875 1
SAM181 0.8825 1
SAM97 0.73 1
SAM361 0.9625 1
SAM123 1.27 1
SAM250 1.2175 1
SAM358 1.06 1
SAM172 0.9 1
SAM341 1.2 1
SAM303 1.005 1
SAM224 1.09 1
SAM162 1.075 1
SAM165 0.8825 1
SAM195 0.9175 1
SAM67 0.8225 1
SAM276 1.115 1
SAM282 0.8675 1
SAM44 1.15 1
SAM196 0.9035 1
SAM170 0.7475 1
SAM73 0.8925 1
SAM118 0.875 1
SAM219 1.035 1
SAM79 0.8875 1
SAM65 0.8225 1
SAM253 1.0225 1
SAM174 1.1625 1
SAM102 0.9275 1
SAM153 0.9225 1
SAM249 0.84 1
SAM322 1.185 1
SAM78 0.7 1
SAM374 0.9225 1
SAM106 0.875 1
SAM88 1.025 1
SAM18 0.745 1
SAM237 0.8875 1
SAM268 1.103333333 1
SAM12 0.8875 1
SAM323 0.87 1
SAM258 1.2925 1
SAM201 1.38 1
SAM130 0.7375 1
SAM189 0.93 1
SAM329 0.983333333 1
SAM84 0.69 1
SAM95 0.8925 1
SAM302 0.985 1
SAM13 1.28 1
SAM109 1.015 1
SAM208 1.115 1
SAM105 1.0425 1
SAM227 0.9275 1
SAM247 0.9275 1
SAM214 0.9 1
SAM296 1.1175 1
SAM363 0.9525 1
SAM68 0.85 1
SAM372 0.72 1
SAM197 0.985 1
SAM360 0.93 1
SAM136 0.75 1
SAM53 0.885 1
SAM75 0.96 1
SAM210 0.945 1
SAM129 0.89 1
SAM350 1.0525 1
SAM107 1.025 1
SAM234 1.2175 1
SAM335 0.93 1
SAM239 0.8575 1
SAM274 1.17 1
SAM365 1.0575 1
SAM152 0.9575 1
SAM304 1.045 1
SAM353 1.02 1
SAM280 1.095 1
SAM35 1.1075 1
SAM382 0.7825 1
SAM366 0.7875 1
SAM125 0.8 1
SAM308 0.9125 1
SAM256 0.9875 1
SAM17 0.87 1
SAM37 0.9625 1
SAM380 1.02 1
SAM339 0.9525 1
SAM356 1.05 1
SAM7 1.143333333 1
SAM10 1.185 1
SAM19 0.85 1
SAM150 0.9125 1
SAM321 0.79 1
SAM267 0.915 1
SAM171 0.91 1
SAM348 1.0075 1
SAM287 1.01 1
SAM375 0.7075 1
SAM352 0.87 1
SAM362 0.9325 1
SAM284 0.8225 1
SAM231 0.9275 1
SAM328 0.965 1
SAM246 1.2175 1
SAM223 0.965 1
SAM182 0.755 1
SAM311 0.995 1
SAM39 1.085 1
SAM1 0.835 1
SAM209 0.93 1
SAM252 0.765 1
SAM16 0.93 1
SAM297 0.9375 1
SAM262 1.063333333 1
SAM146 0.795 1
SAM47 0.845 1
SAM94 1.045 1
SAM147 0.8975 1
SAM126 0.915 1
SAM6 0.635 1
SAM217 0.9575 1
SAM230 0.9825 1
SAM235 0.8925 1
SAM191 1.01 1
SAM15 0.9925 1
SAM14 1.115 1
SAM260 0.965 1
SAM115 0.805 1
SAM132 1.125 1
SAM212 0.8075 1
SAM163 0.88 1
SAM55 0.825 1
SAM144 0.8275 1
SAM59 1.005 1
SAM188 0.785 1
SAM76 0.73 1
SAM215 0.9625 1
SAM103 0.9 1
SAM34 1.01 1
SAM58 0.93 1
SAM204 0.9875 1
SAM179 1.2275 1
SAM64 0.98 1
SAM131 0.945 1
SAM261 1.15 1
SAM116 0.913333333 1
SAM300 0.775 1
SAM114 0.8025 1
SAM101 0.855 1
SAM354 0.9425 1
SAM200 1.0925 1
SAM30 1.11 1
SAM272 0.89 1
SAM281 0.595 1
SAM11 0.8925 1
SAM178 1.2575 1
SAM344 0.9475 1
SAM289 1.205 1
SAM320 0.9025 1
SAM151 0.98 1
SAM51 0.8525 1
SAM143 1.065 1
SAM226 0.9425 1
SAM100 0.6625 1
SAM127 0.72 1
SAM124 0.973333333 1
SAM312 0.975 1
SAM207 1.0775 1
SAM279 0.8725 1
SAM293 1.2525 1
SAM32 1.2225 1
SAM111 0.846666667 1
SAM306 1.1525 1
SAM190 1.275 1
SAM168 0.955 1
SAM42 0.935 1
SAM305 1.26 1
SAM310 0.773333333 1
SAM324 0.97 1
SAM273 0.895 1
SAM245 0.9 1
SAM149 1.0225 1
SAM177 0.796666667 1
SAM166 0.9775 1
SAM180 0.9025 1
SAM74 1.0025 1
SAM186 1.205 1
SAM241 0.7925 1
SAM41 0.663333333 1
SAM54 0.615 1
SAM46 0.985 1
SAM66 1.0575 1
SAM137 0.785 1
SAM277 0.9025 1
SAM298 0.9975 1
SAM313 0.79 1
SAM314 0.77 1
SAM82 0.7675 1
