SAMID Dim2 fix
SAM362 0.8525 1
SAM284 0.7 1
SAM231 0.8225 1
SAM328 0.84 1
SAM246 1.1375 1
SAM223 0.92 1
SAM182 0.67 1
SAM311 0.9075 1
SAM39 1.0075 1
SAM1 0.7 1
SAM209 0.7675 1
SAM252 0.7075 1
SAM16 0.665 1
SAM297 0.8 1
SAM262 0.95 1
SAM146 0.7575 1
SAM47 0.775 1
SAM94 0.98 1
SAM147 0.725 1
SAM126 0.7875 1
SAM6 0.615 1
SAM217 0.795 1
SAM230 0.9275 1
SAM235 0.8 1
SAM191 0.915 1
SAM15 0.895 1
SAM14 0.94 1
SAM260 0.8775 1
SAM115 0.725 1
SAM132 1 1
SAM212 0.71 1
SAM163 0.785 1
SAM55 0.69 1
SAM144 0.735 1
SAM59 0.8975 1
SAM188 0.7075 1
SAM76 0.6625 1
SAM215 0.875 1
SAM103 0.8075 1
SAM34 0.96 1
SAM58 0.785 1
SAM204 0.9325 1
SAM179 1.055 1
SAM64 0.91 1
SAM131 0.81 1
SAM261 1.02 1
SAM116 0.776666667 1
SAM300 0.695 1
SAM114 0.6925 1
SAM101 0.7275 1
SAM354 0.825 1
SAM200 0.9375 1
SAM30 0.975 1
SAM272 0.736666667 1
SAM281 0.56 1
SAM11 0.795 1
SAM178 0.9825 1
SAM344 0.8825 1
SAM289 1.1425 1
SAM320 0.7825 1
SAM151 0.7625 1
SAM51 0.79 1
SAM143 0.895 1
SAM226 0.7775 1
SAM100 0.64 1
SAM127 0.6425 1
SAM124 0.92 1
SAM312 0.85 1
SAM207 0.98 1
SAM279 0.7775 1
SAM293 1.1925 1
SAM32 1.12 1
SAM111 0.816666667 1
SAM306 1.005 1
SAM190 1.1325 1
SAM168 0.81 1
SAM42 0.845 1
SAM305 1.0725 1
SAM310 0.656666667 1
SAM324 0.94 1
SAM273 0.835 1
SAM245 0.825 1
SAM149 0.99 1
SAM177 0.773333333 1
SAM166 0.9125 1
SAM180 0.7625 1
SAM74 0.97 1
SAM186 1.0525 1
SAM241 0.7 1
SAM41 0.593333333 1
SAM54 0.5575 1
SAM46 0.875 1
SAM66 0.96 1
SAM137 0.7075 1
SAM277 0.805 1
SAM298 0.7875 1
SAM313 0.735 1
SAM314 0.67 1
SAM82 0.68 1
