SAMID Height fix
SAM152 -13.2385 1
SAM304 -19.195 1
SAM353 -25.3768 1
SAM280 -20.557 1
SAM35 21.3278 1
SAM382 -31.4424 1
SAM366 -34.6233 1
SAM125 -0.4222 1
SAM308 -18.9067 1
SAM256 -5.4253 1
SAM17 45.9357 1
SAM37 27.0382 1
SAM380 -7.6216 1
SAM339 -29.235 1
SAM356 -21.0024 1
SAM7 43.2785 1
SAM10 40.7001 1
SAM19 34.6868 1
SAM150 0.739 1
SAM321 -11.619 1
SAM267 -16.6016 1
SAM171 9.3113 1
SAM348 -23.9884 1
SAM287 -10.2627 1
SAM375 -25.7547 1
SAM352 -23.1503 1
SAM362 -24.6899 1
SAM284 -15.7784 1
SAM231 3.0441 1
SAM328 -20.3498 1
SAM246 -7.6956 1
SAM223 -15.3181 1
SAM182 -16.301 1
SAM311 -16.1564 1
SAM39 19.2291 1
SAM1 51.0482 1
SAM209 0.05796 1
SAM252 -2.0638 1
SAM16 68.7409 1
SAM297 -24.0063 1
SAM262 -9.5546 1
SAM146 -1.5051 1
SAM47 25.545 1
SAM94 -4.3276 1
SAM147 -2.9282 1
SAM126 13.1027 1
SAM6 25.609 1
SAM217 -1.3305 1
SAM230 -11.2318 1
SAM235 -3.2937 1
SAM191 20.9611 1
SAM15 26.4678 1
SAM14 35.2179 1
SAM260 -20.0594 1
SAM115 21.8778 1
SAM132 2.4416 1
SAM212 14.8316 1
SAM163 2.7119 1
SAM55 27.5095 1
SAM144 -13.3981 1
SAM59 24.7854 1
SAM188 10.3523 1
SAM76 3.4632 1
SAM215 -10.5247 1
SAM103 6.3711 1
SAM34 31.2815 1
SAM58 16.0627 1
SAM204 -25.1148 1
SAM179 -2.2314 1
SAM64 15.0675 1
SAM131 5.3592 1
SAM261 -12.1749 1
SAM116 36.6776 1
SAM300 2.7035 1
SAM114 12.7361 1
SAM101 13.2971 1
SAM354 -30.3275 1
SAM200 -17.8126 1
SAM30 38.1183 1
SAM272 -20.1751 1
SAM281 -17.3823 1
SAM11 44.6668 1
SAM178 -6.8312 1
SAM344 -7.4242 1
SAM289 -6.5809 1
SAM320 -22.1286 1
SAM151 5.7577 1
SAM51 22.1848 1
SAM143 4.8531 1
SAM226 -13.9251 1
SAM100 8.8854 1
SAM127 6.6796 1
SAM124 -15.2907 1
SAM312 -10.0356 1
SAM207 -12.6464 1
SAM279 -5.5571 1
SAM293 -17.7472 1
SAM32 16.9733 1
SAM111 6.4349 1
SAM306 26.3001 1
SAM190 -24.6694 1
SAM168 0.7361 1
SAM42 18.9638 1
SAM305 -6.0618 1
SAM310 -12.8936 1
SAM324 -23.611 1
SAM273 -5.2939 1
SAM245 -7.4861 1
SAM149 0.7452 1
SAM177 -3.0438 1
SAM166 -4.042 1
SAM180 -18.7759 1
SAM74 -8.9175 1
SAM186 16.0627 1
SAM241 -1.9341 1
SAM41 21.9946 1
SAM54 24.3401 1
SAM46 2.2838 1
SAM66 0.9661 1
SAM137 3.4633 1
SAM87 -0.2158 1
SAM277 -4.1308 1
SAM298 -10.4004 1
SAM313 -12.463 1
SAM314 -22.5477 1
SAM82 10.1689 1
