SAMID HtRa fix
SAM365 0.09708 1
SAM152 -0.1726 1
SAM304 -0.1218 1
SAM353 -0.1121 1
SAM280 -0.1581 1
SAM35 0.02978 1
SAM382 -0.1754 1
SAM366 -0.2485 1
SAM125 -0.03727 1
SAM308 -0.114 1
SAM256 0.04268 1
SAM17 0.261 1
SAM37 0.1167 1
SAM380 0.08751 1
SAM339 -0.2386 1
SAM356 -0.05749 1
SAM7 0.09343 1
SAM10 0.1464 1
SAM19 0.1313 1
SAM150 -0.02303 1
SAM321 0.01026 1
SAM267 -0.1037 1
SAM171 0.07289 1
SAM348 -0.1253 1
SAM287 -0.00702 1
SAM375 -0.1203 1
SAM352 -0.09105 1
SAM362 -0.1394 1
SAM284 -0.08016 1
SAM231 0.1145 1
SAM328 -0.1027 1
SAM246 0.01898 1
SAM223 -0.1417 1
SAM182 -0.1929 1
SAM311 -0.07885 1
SAM39 0.05706 1
SAM1 0.09123 1
SAM209 0.03204 1
SAM252 0.08152 1
SAM16 0.456 1
SAM297 -0.178 1
SAM262 -0.046 1
SAM146 -0.05305 1
SAM47 0.1548 1
SAM94 -0.1018 1
SAM147 -0.08393 1
SAM126 0.1088 1
SAM6 -0.05916 1
SAM217 0.002185 1
SAM230 -0.09487 1
SAM235 -0.00104 1
SAM191 0.3442 1
SAM15 0.02428 1
SAM14 0.1556 1
SAM260 -0.1808 1
SAM115 0.2721 1
SAM132 -0.02477 1
SAM212 0.2906 1
SAM163 0.0114 1
SAM55 0.1829 1
SAM144 -0.1701 1
SAM59 0.1442 1
SAM188 0.1898 1
SAM76 -0.0816 1
SAM215 -0.08758 1
SAM103 0.01435 1
SAM34 0.1576 1
SAM58 0.04173 1
SAM204 -0.2997 1
SAM179 -0.04573 1
SAM64 0.06111 1
SAM131 0.01543 1
SAM261 -0.05257 1
SAM116 0.4487 1
SAM300 0.2379 1
SAM114 0.1126 1
SAM101 0.06813 1
SAM354 -0.2039 1
SAM200 -0.1987 1
SAM30 0.2793 1
SAM272 -0.179 1
